Keyword,Party,Neighbor,Similarity
climate_change,Republican,dependency,0.8395780324935913
crime,Democrat,violence,0.788090705871582
crime,Democrat,perpetrator,0.7834016680717468
crime,Democrat,heinous,0.7805425524711609
crime,Democrat,hateful,0.7361912131309509
crime,Democrat,anti-asian_hate,0.7344673871994019
crime,Democrat,sexual_violence,0.7330290675163269
crime,Democrat,incident,0.7316924333572388
crime,Democrat,sexual_assault,0.7299172878265381
crime,Democrat,violent_crime,0.728670597076416
crime,Democrat,military_sexual,0.7204089164733887
crime,Republican,human_trafficking,0.8045705556869507
crime,Republican,sexual,0.7728236317634583
crime,Republican,violent,0.751991868019104
crime,Republican,violence,0.7511916160583496
crime,Republican,criminal,0.7486925721168518
crime,Republican,charged_with,0.7397907376289368
crime,Republican,despicable,0.7237933278083801
crime,Republican,trafficker,0.7222339510917664
crime,Republican,prosecuted,0.722052276134491
crime,Republican,repeated,0.7207940220832825
democracy,Democrat,belarus,0.7786788940429688
democracy,Democrat,our_democracy,0.7751964330673218
democracy,Democrat,ideal,0.7615768313407898
democracy,Democrat,liberty,0.7560858726501465
democracy,Democrat,fair_elections,0.7547275424003601
democracy,Democrat,most_fundamental,0.7532458901405334
democracy,Democrat,american_values,0.7515309453010559
democracy,Democrat,very_foundation,0.7510149478912354
democracy,Democrat,fundamental,0.7468700408935547
democracy,Democrat,expression,0.7461249828338623
democracy,Republican,hong_kongers,0.8251779079437256
democracy,Republican,human_right,0.8205184936523438
democracy,Republican,hong_kong,0.8126216530799866
democracy,Republican,liberty,0.8005239367485046
democracy,Republican,freedom,0.7974437475204468
democracy,Republican,oppression,0.7954477071762085
democracy,Republican,dictatorship,0.7952123880386353
democracy,Republican,democratic_ally,0.7860758304595947
democracy,Republican,peaceful,0.7825912833213806
democracy,Republican,must_stand,0.7817005515098572
education,Democrat,early_childhood,0.7578684687614441
education,Democrat,higher_education,0.7370587587356567
education,Democrat,high-quality,0.7311848402023315
education,Democrat,high-quality_early,0.7265134453773499
education,Democrat,housing,0.7210273742675781
education,Democrat,employment,0.7190028429031372
education,Democrat,community_college,0.7125535011291504
education,Democrat,technical,0.7121521830558777
education,Democrat,pursuing,0.7092453837394714
education,Democrat,early_learning,0.6955433487892151
education,Republican,educational,0.7591910362243652
education,Republican,engineering,0.7563257217407227
education,Republican,high-quality,0.7480599284172058
education,Republican,their_childrens,0.7478905916213989
education,Republican,school_choice,0.7466549873352051
education,Republican,nutrition,0.7352184057235718
education,Republican,adoption,0.7340081930160522
education,Republican,shape,0.7305073738098145
education,Republican,training,0.7274247407913208
education,Republican,technical,0.7250953316688538
economy,Democrat,economic_recovery,0.7036168575286865
economy,Democrat,our_economy,0.7034609913825989
economy,Democrat,economic_growth,0.7003759145736694
economy,Democrat,local_economies,0.6878283023834229
economy,Democrat,good_paying,0.6860629320144653
economy,Democrat,more_sustainable,0.6795088648796082
economy,Democrat,skilled_workforce,0.6759801506996155
economy,Democrat,creating_good-paying,0.6738574504852295
economy,Democrat,fairer_economy,0.6731780767440796
economy,Democrat,grow,0.668210506439209
economy,Republican,our_economy,0.8011775612831116
economy,Republican,growth,0.7533097863197327
economy,Republican,job_creation,0.7464317679405212
economy,Republican,supply_chains,0.7279863953590393
economy,Republican,workforce,0.7227775454521179
economy,Republican,economic_growth,0.7190411686897278
economy,Republican,job_growth,0.7149205207824707
economy,Republican,improve_productivity,0.7087810039520264
economy,Republican,job_creators,0.7087734937667847
economy,Republican,economic_recovery,0.7040917277336121
equality,Democrat,full_equality,0.8770131468772888
